entrada.iata,entrada.airportName
ACE,Lanzarote Airport
AGP,Málaga Airport
ALC,Alicante International Airport
BCN,Barcelona International Airport
BIO,Bilbao Airport
CDT,Castellón-Costa Azahar Airport
EAS,San Sebastian Airport
FUE,Fuerteventura Airport
GRO,Girona Airport
GRX,Federico Garcia Lorca Airport
IBZ,Ibiza Airport
LCG,A Coruña Airport
LEI,Almería International Airport
LEN,Leon Airport
LPA,Gran Canaria Airport
MAD,Adolfo Suárez Madrid–Barajas Airport
MAH,Menorca Airport
MLN,Melilla Airport
OVD,Asturias Airport
OZP,Moron Air Base
PMI,Palma De Mallorca Airport
PNA,Pamplona Airport
REU,Reus Air Base
SCQ,Santiago de Compostela Airport
SDR,Santander Airport
SPC,La Palma Airport
SVQ,Sevilla Airport
TFN,Tenerife Norte Airport
TFS,Tenerife South Airport
VDE,Hierro Airport
VGO,Vigo Airport
VIT,Vitoria/Foronda Airport
VLC,Valencia Airport
VLL,Valladolid Airport
XRY,Jerez Airport
ZAZ,Zaragoza Air Base