salida.iata,salida.airportName
ABZ,Aberdeen Dyce Airport
ACE,Lanzarote Airport
AGP,Málaga Airport
ALC,Alicante International Airport
AMS,Amsterdam Airport Schiphol
ARN,Stockholm-Arlanda Airport
AUH,Abu Dhabi International Airport
BCN,Barcelona International Airport
BEY,Beirut Rafic Hariri International Airport
BFS,Belfast International Airport
BGI,Grantley Adams International Airport
BGY,Milan Bergamo Airport
BHX,Birmingham International Airport
BIO,Bilbao Airport
BJL,Banjul International Airport
BLL,Billund Airport
BLQ,Bologna Guglielmo Marconi Airport
BMA,Stockholm-Bromma Airport
BOD,Bordeaux-Mérignac Airport
BOH,Bournemouth Airport
BQH,London Biggin Hill Airport
BRE,Bremen Airport
BRS,Bristol Airport
BRU,Brussels Airport
BSL,EuroAirport Basel-Mulhouse-Freiburg Airport
BVA,Paris Beauvais Tillé Airport
BZZ,RAF Brize Norton
CDG,Charles de Gaulle International Airport
CEG,Hawarden Airport
CGN,Cologne Bonn Airport
CIA,Ciampino–G. B. Pastine International Airport
CMN,Mohammed V International Airport
CPH,Copenhagen Kastrup Airport
CRL,Brussels South Charleroi Airport
CWL,Cardiff International Airport
DFW,Dallas Fort Worth International Airport
DOH,Hamad International Airport
DSS,Blaise Diagne International Airport
DTM,Dortmund Airport
DUB,Dublin Airport
DUS,Düsseldorf Airport
DXB,Dubai International Airport
EAS,San Sebastian Airport
EDI,Edinburgh Airport
EIN,Eindhoven Airport
EMA,East Midlands Airport
FAB,Farnborough Airport
FAO,Faro Airport
FCO,Leonardo da Vinci–Fiumicino Airport
FKB,Karlsruhe Baden-Baden Airport
FLR,Peretola Airport
FMM,Memmingen Allgau Airport
FNC,Madeira Airport
FRA,Frankfurt am Main Airport
FUE,Fuerteventura Airport
GLA,Glasgow International Airport
GRX,Federico Garcia Lorca Airport
GVA,Geneva Cointrin International Airport
GYE,José Joaquín de Olmedo International Airport
HAJ,Hannover Airport
HAM,Hamburg Airport
HAV,José Martí International Airport
HHN,Frankfurt-Hahn Airport
IBZ,Ibiza Airport
ILD,Lleida-Alguaire Airport
INN,Innsbruck Airport
ISL,Istanbul Atatürk Airport
IST,Istanbul Airport
KBP,Boryspil International Airport
KEF,Keflavik International Airport
KTW,Katowice International Airport
KUN,Kaunas International Airport
LBA,Leeds Bradford Airport
LBG,Paris-Le Bourget Airport
LCG,A Coruña Airport
LEI,Almería International Airport
LEJ,Leipzig/Halle Airport
LGG,Liège Airport
LGW,London Gatwick Airport
LHR,London Heathrow Airport
LIN,Milano Linate Airport
LIS,Humberto Delgado Airport (Lisbon Portela Airport)
LPA,Gran Canaria Airport
LPL,Liverpool John Lennon Airport
LTN,London Luton Airport
LUX,Luxembourg-Findel International Airport
LYS,Lyon Saint-Exupéry Airport
MAD,Adolfo Suárez Madrid–Barajas Airport
MAH,Menorca Airport
MAN,Manchester Airport
MEX,Licenciado Benito Juarez International Airport
MIA,Miami International Airport
MLA,Malta International Airport
MLN,Melilla Airport
MPL,Montpellier-Méditerranée Airport
MRS,Marseille Provence Airport
MUC,Munich Airport
MXP,Malpensa International Airport
NAP,Naples International Airport
NCL,Newcastle Airport
NDR,Nador International Airport
NRN,Weeze Airport
NTE,Nantes Atlantique Airport
NYO,Stockholm Skavsta Airport
OPO,Francisco de Sá Carneiro Airport
ORK,Cork Airport
ORY,Paris-Orly Airport
OSL,Oslo Gardermoen Airport
OTP,Henri Coandă International Airport
OVD,Asturias Airport
PED,Pardubice Airport
PIK,Glasgow Prestwick Airport
PMI,Palma De Mallorca Airport
PMO,Falcone–Borsellino Airport
PNA,Pamplona Airport
PRG,Václav Havel Airport Prague
PSA,Pisa International Airport
PVG,Shanghai Pudong International Airport
RTM,Rotterdam The Hague Airport
SCQ,Santiago de Compostela Airport
SDQ,Las Américas International Airport
SDR,Santander Airport
SEN,Southend Airport
SJO,Juan Santamaria International Airport
SNN,Shannon Airport
SOF,Sofia Airport
SPC,La Palma Airport
STN,London Stansted Airport
STR,Stuttgart Airport
SVO,Sheremetyevo International Airport
SVQ,Sevilla Airport
SVX,Koltsovo Airport
SXB,Strasbourg Airport
SXF,Berlin-Schönefeld Airport
TFN,Tenerife Norte Airport
TFS,Tenerife South Airport
TLS,Toulouse-Blagnac Airport
TNG,Ibn Batouta Airport
TOJ,Torrejón Airport
TXL,Berlin-Tegel Airport
VCE,Venice Marco Polo Airport
VDE,Hierro Airport
VGO,Vigo Airport
VIE,Vienna International Airport
VIT,Vitoria/Foronda Airport
VLC,Valencia Airport
VLL,Valladolid Airport
VXO,Växjö Kronoberg Airport
WAW,Warsaw Chopin Airport
XRY,Jerez Airport
ZAZ,Zaragoza Air Base
ZRH,Zürich Airport