round(f.occupancyPercentage * f.seatsCapacity/100),entrada.iata,salida.iata,entrada.airportName,salida.airportName
45.0,TFN,ACE,Tenerife Norte Airport,Lanzarote Airport
45.0,TFN,ACE,Tenerife Norte Airport,Lanzarote Airport
45.0,TFN,ACE,Tenerife Norte Airport,Lanzarote Airport
45.0,TFN,ACE,Tenerife Norte Airport,Lanzarote Airport
45.0,TFN,ACE,Tenerife Norte Airport,Lanzarote Airport
96.0,TFN,AGP,Tenerife Norte Airport,Málaga Airport
87.0,TFN,ALC,Tenerife Norte Airport,Alicante International Airport
87.0,TFN,BCN,Tenerife Norte Airport,Barcelona International Airport
87.0,TFN,BCN,Tenerife Norte Airport,Barcelona International Airport
87.0,TFN,BIO,Tenerife Norte Airport,Bilbao Airport
45.0,TFN,FUE,Tenerife Norte Airport,Fuerteventura Airport
45.0,TFN,FUE,Tenerife Norte Airport,Fuerteventura Airport
45.0,TFN,FUE,Tenerife Norte Airport,Fuerteventura Airport
45.0,TFN,FUE,Tenerife Norte Airport,Fuerteventura Airport
45.0,TFN,FUE,Tenerife Norte Airport,Fuerteventura Airport
87.0,TFN,GRX,Tenerife Norte Airport,Federico Garcia Lorca Airport
1.0,TFN,LIS,Tenerife Norte Airport,Humberto Delgado Airport (Lisbon Portela Airport)
97.0,TFN,LPA,Tenerife Norte Airport,Gran Canaria Airport
113.0,TFN,LPA,Tenerife Norte Airport,Gran Canaria Airport
45.0,TFN,LPA,Tenerife Norte Airport,Gran Canaria Airport
45.0,TFN,LPA,Tenerife Norte Airport,Gran Canaria Airport
45.0,TFN,LPA,Tenerife Norte Airport,Gran Canaria Airport
45.0,TFN,LPA,Tenerife Norte Airport,Gran Canaria Airport
45.0,TFN,LPA,Tenerife Norte Airport,Gran Canaria Airport
45.0,TFN,LPA,Tenerife Norte Airport,Gran Canaria Airport
45.0,TFN,LPA,Tenerife Norte Airport,Gran Canaria Airport
1.0,TFN,LPA,Tenerife Norte Airport,Gran Canaria Airport
45.0,TFN,LPA,Tenerife Norte Airport,Gran Canaria Airport
45.0,TFN,LPA,Tenerife Norte Airport,Gran Canaria Airport
45.0,TFN,LPA,Tenerife Norte Airport,Gran Canaria Airport
45.0,TFN,LPA,Tenerife Norte Airport,Gran Canaria Airport
87.0,TFN,MAD,Tenerife Norte Airport,Adolfo Suárez Madrid–Barajas Airport
103.0,TFN,MAD,Tenerife Norte Airport,Adolfo Suárez Madrid–Barajas Airport
103.0,TFN,MAD,Tenerife Norte Airport,Adolfo Suárez Madrid–Barajas Airport
103.0,TFN,MAD,Tenerife Norte Airport,Adolfo Suárez Madrid–Barajas Airport
87.0,TFN,MAD,Tenerife Norte Airport,Adolfo Suárez Madrid–Barajas Airport
87.0,TFN,MAD,Tenerife Norte Airport,Adolfo Suárez Madrid–Barajas Airport
45.0,TFN,SPC,Tenerife Norte Airport,La Palma Airport
45.0,TFN,SPC,Tenerife Norte Airport,La Palma Airport
45.0,TFN,SPC,Tenerife Norte Airport,La Palma Airport
45.0,TFN,SPC,Tenerife Norte Airport,La Palma Airport
45.0,TFN,SPC,Tenerife Norte Airport,La Palma Airport
45.0,TFN,SPC,Tenerife Norte Airport,La Palma Airport
45.0,TFN,SPC,Tenerife Norte Airport,La Palma Airport
45.0,TFN,SPC,Tenerife Norte Airport,La Palma Airport
45.0,TFN,SPC,Tenerife Norte Airport,La Palma Airport
45.0,TFN,SPC,Tenerife Norte Airport,La Palma Airport
45.0,TFN,SPC,Tenerife Norte Airport,La Palma Airport
96.0,TFN,SVQ,Tenerife Norte Airport,Sevilla Airport
45.0,TFN,VDE,Tenerife Norte Airport,Hierro Airport
45.0,TFN,VDE,Tenerife Norte Airport,Hierro Airport
45.0,TFN,VDE,Tenerife Norte Airport,Hierro Airport
45.0,TFN,VDE,Tenerife Norte Airport,Hierro Airport
1.0,TFN,VGO,Tenerife Norte Airport,Vigo Airport